Name,Team,Name,Age,G,AB,PA,H,2B,3B,HR,R,RBI,BB,SO,AVG,OBP,SLG,wOBA,WAR,wRC+,NameASCII,PlayerId,MLBAMID
"Mike Trout","LAA","Mike Trout",33,79,279,342,65,7,1,18,41,45,54,96,0.23297491,0.359649122,0.458781362,0.3477042406618952,1.2512108077177015,122.88730009758557,"Mike Trout",10155,545361
"Maikel Garcia","KCR","Maikel Garcia",25,103,382,422,113,26,5,9,46,43,33,56,0.295811518,0.350835322,0.460732984,0.35027768717176305,3.642324234788765,122.8214863508091,"Maikel Garcia",22715,672580
"Jose Altuve","HOU","Jose Altuve",35,101,385,430,108,17,1,17,56,53,38,70,0.28051948,0.344186046,0.462337662,0.34477524550308086,1.7765570123160246,122.62307887196093,"Jose Altuve",5417,514888
"Yohel Pozo","STL","Yohel Pozo",28,43,104,109,31,7,0,4,12,16,4,12,0.298076923,0.321100917,0.48076923,0.3424509643414699,0.7485588359568707,122.30755230901786,"Yohel Pozo",18848,650968
"Josh Naylor","- - -","Josh Naylor",28,95,356,402,104,19,1,11,50,59,38,51,0.292134831,0.36,0.443820224,0.34634782659887065,1.4249189719578288,122.00564674748286,"Josh Naylor",18839,647304
"Bobby Witt Jr.","KCR","Bobby Witt Jr.",25,104,411,451,118,33,3,15,62,58,31,84,0.287104622,0.337028824,0.491484184,0.3487712893593177,4.82706146642962,121.78370732191368,"Bobby Witt Jr.",25764,677951
"Brandon Nimmo","NYM","Brandon Nimmo",32,101,378,419,99,19,0,19,52,59,32,83,0.261904761,0.326968973,0.462962962,0.33993810843052474,2.3790417751075075,121.73926149783976,"Brandon Nimmo",12927,607043
"CJ Abrams","WSN","CJ Abrams",24,90,361,399,98,23,4,13,63,40,25,68,0.271468144,0.334170854,0.465373961,0.3441226179113316,2.6529437393784363,121.32485401973065,"CJ Abrams",25768,682928
"Brendan Donovan","STL","Brendan Donovan",28,98,379,427,110,24,0,9,54,42,36,56,0.290237467,0.359154929,0.42480211,0.3409070133035628,2.5725836384139233,121.24996113988075,"Brendan Donovan",24679,680977
"Leo Rivas","SEA","Leo Rivas",27,30,60,73,17,1,0,0,14,4,12,15,0.283333333,0.410958904,0.3,0.3341209619012597,0.5123875768297025,121.23973525866376,"Leo Rivas",21009,660844
